id,date_start,period_type,title,is_infl_rate,cmt,parent_id,previous_id,base_type_code
167461475,2024-04-26 00:00:00,1,Мониторинг Апрель 2024 (211 сборник/дополнение 72),0,,167085727.0,167319938.0,TSN
167403321,2024-04-16 00:00:00,1,211 индекс/дополнение 72 (мониторинг 2 кв 2024),1,,167085727.0,167264731.0,TSN
167396579,2024-04-02 00:00:00,1,57 индекс/оборудование доп. 39 (мониторинг 2 кв 2024),1,,167258837.0,167258837.0,TSN
167319938,2024-03-26 00:00:00,1,Мониторинг Март 2024 (210 сборник/дополнение 71),0,,167177895.0,167177895.0,TSN
167264731,2024-03-19 00:00:00,1,210 индекс/дополнение 71 (мониторинг Март 2024),1,,166998701.0,166998701.0,TSN
167258837,2024-03-18 00:00:00,1,56 индекс/оборудование доп. 39 (мониторинг Март 2024),1,,167085726.0,166992895.0,TSN
167177895,2024-02-19 00:00:00,1,Мониторинг Февраль 2024 (209 сборник/дополнение 71),0,,166991596.0,166991596.0,TSN
167085727,2024-02-27 00:00:00,1,Дополнение 72,0,,166954793.0,166954793.0,TSN
167085726,2024-02-26 00:00:00,1,Оборудование (Глава 13-2)/дополнение 39,0,,152652102.0,152652102.0,TSN
166998701,2024-02-15 00:00:00,1,209 индекс/дополнение 71 (мониторинг Февраль 2024),1,,166956935.0,166956935.0,TSN
166992895,2024-02-08 00:00:00,1,55 индекс/оборудование доп. 38 (мониторинг Февраль 2024),1,,166985880.0,166985880.0,TSN
166991596,2024-01-22 00:00:00,1,Мониторинг Январь 2024 (208 сборник/дополнение 71),0,,166954793.0,153733708.0,TSN
166985880,2024-01-19 00:00:00,1,54 индекс/оборудование доп. 38 (мониторинг Январь 2024),1,,152806443.0,152806443.0,TSN
166956935,2024-01-19 00:00:00,1,208 индекс/дополнение 71 (мониторинг Январь 2024),1,,166954793.0,153689235.0,TSN
166954793,2024-01-11 00:00:00,1,Дополнение 71,0,,152652325.0,152652325.0,TSN
153733708,2023-12-14 00:00:00,1,Мониторинг Декабрь 2023 (207 сборник/дополнение 70),0,,152661896.0,152661896.0,TSN
153689235,2023-12-15 00:00:00,1,207 индекс/дополнение 70 (мониторинг Декабрь 2023),1,,152623191.0,152623191.0,TSN
152806443,2023-12-03 00:00:00,1,53 индекс/оборудование доп. 38 (мониторинг Декабрь 2023),1,,152652102.0,152501912.0,TSN
152661896,2023-11-15 00:00:00,1,Мониторинг Ноябрь 2023 (206 сборник/дополнение 70 спецвыпуск по приказу МГЭ),0,,152472566.0,152381044.0,TSN
152652325,2023-12-18 00:00:00,1,Дополнение 71 без ОГ,0,,152472566.0,152472566.0,TSN
152652102,2023-12-01 00:00:00,1,Оборудование (Глава 13-2)/дополнение 38,0,,151968505.0,151968505.0,TSN
152623191,2023-11-15 00:00:00,1,206 индекс/дополнение 70 (мониторинг Ноябрь 2023),1,,152473013.0,152473013.0,TSN
152501912,2023-11-07 00:00:00,1,52 индекс/оборудование доп. 37 (мониторинг Ноябрь 2023),1,,152322403.0,152322403.0,TSN
152473013,2023-10-31 00:00:00,1,205 индекс/дополнение 70 (мониторинг Октябрь 2023),1,,152472566.0,152351830.0,TSN
